source,user,timestamp,information
Github,Dan Jutan,2021-11-07T03:17:09Z,work with env variables instead of docsconfig
Github,Dan Jutan,2021-05-31T11:50:13Z,fix parse-google-docs-json dependency
Github,Lauren Klein,2021-05-26T18:00:04Z,Draft Du Bois scrollytell
Github,Dan Jutan,2021-05-26T17:31:39Z,Dubois scrollytell demo
Github,Lauren Klein,2021-05-26T15:14:16Z,Updated images/vis placements in Du Bois chapter
Github,Lauren Klein,2021-05-26T14:03:12Z,Merge branch 'du-bois'
Github,Lauren Klein,2021-05-26T14:01:36Z,Added links to Du Bois chapter and reorganized chapters per peer review
Github,Dan Jutan,2021-05-24T14:36:08Z,Merge pull request #99 from GeorgiaTechDHLab/dubios_namesDubois names
Github,Jianing Fu,2021-04-30T22:08:14Z,name vis draft
Github,Jianing Fu,2021-04-28T00:38:05Z,add name sheet
Github,Dan Jutan,2021-04-12T20:50:45Z,remove playfair csvs from public
Github,Dan Jutan,2021-04-12T20:49:41Z,remove some console logs
Github,Dan Jutan,2021-04-12T20:47:52Z,port Impls to use the visualization mixin (they don't use the width prop yet)
Github,Dan Jutan,2021-04-12T20:42:51Z,use event instead of mutating prop directly for d3 playfair selection
Github,Dan Jutan,2021-04-12T20:26:18Z,remove unused usa-covid dataset
Github,Dan Jutan,2021-04-12T20:06:35Z,add the rest of the playfair data to server
Github,Jianing Fu,2021-04-10T21:07:57Z,Merge pull request #98 from GeorgiaTechDHLab/dubois_recreationcomplete gallery mode
Github,Jianing Fu,2021-04-10T21:05:06Z,complete gallery mode
Github,Jianing Fu,2021-04-04T00:41:43Z,Merge pull request #97 from GeorgiaTechDHLab/dubois_recreationadded map & animation
Github,Jianing Fu,2021-04-04T00:37:01Z,added map & animatioin
Github,Dan Jutan,2021-03-31T13:32:40Z,Merge pull request #96 from GeorgiaTechDHLab/dubois_recreationDubois recreation
Github,Dan Jutan,2021-03-31T13:32:06Z,Merge branch 'master' into dubois_recreation
Github,Dan Jutan,2021-03-26T18:15:00Z,d3impl load data from server
Github,Dan Jutan,2021-03-26T16:44:37Z,move footnote components into chapters folder
Github,Jianing Fu,2021-03-26T04:11:11Z,finished map
Github,Dan Jutan,2021-03-26T03:38:17Z,fix dubois navline dataset reference
Github,Dan Jutan,2021-03-23T16:47:46Z,remove docsconfig file
Github,Dan Jutan,2021-03-23T16:41:04Z,explicitly reference parse-google-docs-json commit
Github,Jianing Fu,2021-03-20T21:45:43Z,map
Github,Dan Jutan,2021-03-19T23:40:32Z,add shortcut command for starting mongo on mac
Github,Dan Jutan,2021-03-19T23:34:15Z,remove old loopback server
Github,Dan Jutan,2021-03-19T23:30:18Z,untangle and remove old code
Github,Jianing Fu,2021-03-12T03:56:56Z,add vis
Github,Jianing Fu,2021-03-07T22:07:14Z,occupation draft
Github,Dan Jutan,2021-03-02T14:09:15Z,remove debugger statements
Github,Dan Jutan,2021-03-02T13:47:11Z,move captions into IMG div
Github,Dan Jutan,2021-02-24T15:24:19Z,fix dubois navline
Github,Dan Jutan,2021-02-24T14:14:28Z,add dubois chapter file
Github,Lauren Klein,2021-02-16T19:20:09Z,Merge pull request #95 from GeorgiaTechDHLab/du-boisAdded Du Bois chapter and timeline images
Github,Lauren Klein,2021-02-16T19:19:49Z,Updated timeline on Home with thumbnails
Github,Lauren Klein,2021-02-16T18:00:11Z,Added Du Bois chapter and timeline images
Github,Jianing Fu,2021-01-08T20:47:13Z,Merge pull request #94 from GeorgiaTechDHLab/playfair-fixchange import export line color
Github,Jianing Fu,2021-01-08T20:46:42Z,change import export line colar
Github,Dan Jutan,2021-01-08T19:13:00Z,merge
Github,Dan Jutan,2021-01-08T19:11:59Z,navline fixes
Github,Dan Jutan,2021-01-08T18:31:10Z,update women's grid
Github,Dan Jutan,2021-01-08T18:27:26Z,update women's grid
Github,Dan Jutan,2021-01-08T15:12:18Z,adjust easing on playfair mapscroller
Github,Lauren Klein,2021-01-08T04:33:58Z,Tweaked image sizes
Github,Lauren Klein,2021-01-08T04:20:20Z,Added missing caption
Github,Lauren Klein,2021-01-08T04:12:34Z,Updated Playfair process vis text
Github,Dan Jutan,2021-01-08T02:54:33Z,finish todos
Github,Dan Jutan,2021-01-08T01:25:42Z,(hopefull) fix glitchy second scrollytell
Github,Jianing Fu,2021-01-07T20:53:34Z,Merge pull request #92 from GeorgiaTechDHLab/playfair-fixadded dot domain
Github,Jianing Fu,2021-01-07T20:53:02Z,added dot domain
Github,Dan Jutan,2021-01-07T17:59:09Z,finally much better collect
Github,Lauren Klein,2021-01-07T16:06:35Z,Merge branch 'master' of https://github.com/GeorgiaTechDHLab/DataByDesign
Github,Lauren Klein,2021-01-07T16:06:21Z,Added floorchart images
Github,Dan Jutan,2021-01-07T15:52:47Z,Merge branch 'master' of github.com:GeorgiaTechDHLab/DataByDesign
Github,Dan Jutan,2021-01-07T15:52:40Z,grid todos
Github,Jianing Fu,2021-01-06T22:56:30Z,Merge pull request #91 from GeorgiaTechDHLab/playfair-fixfix d3 size
Github,Jianing Fu,2021-01-06T22:56:06Z,fix d3 size
Github,Dan Jutan,2021-01-06T15:27:47Z,Merge pull request #90 from GeorgiaTechDHLab/playfair-todosScrollytell and Header Adjustments
Github,Dan Jutan,2021-01-06T15:26:38Z,playfair scrollytell
Github,Dan Jutan,2021-01-06T01:50:45Z,Merge branch 'playfair-todos' of github.com:GeorgiaTechDHLab/DataByDesign into playfair-todos
Github,Dan Jutan,2021-01-06T01:49:32Z,fix offset accuracy; add pause feature
Github,Dan Jutan,2021-01-06T01:39:29Z,fix offset accuracy; add pause feature
Github,Dan Jutan,2021-01-05T15:41:20Z,align header with chapter when resizing
Github,Dan Jutan,2021-01-05T15:11:36Z,adjust home page margin
Github,Dan Jutan,2021-01-05T15:06:05Z,make header less obtrusive
Github,Jianing Fu,2021-01-04T05:08:22Z,Merge pull request #88 from GeorgiaTechDHLab/playfair-fixfix stacked bar
Github,Jianing Fu,2021-01-04T05:08:14Z,Merge branch 'master' into playfair-fix
Github,Jianing Fu,2021-01-04T05:07:15Z,fix stacked bar
